Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Last Visit Date,Inspection Visits,Complaint Visits,Other Visits,Total Visits,Inspect TypeA,Inspect TypeB,Other TypeA,Other TypeB,Complaint Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343613062,"LITTLE BLOSSOM MONTESSORI SCHOOL, INC.","LITTLE BLOSSOM MONTESSORI SCHOOL, INC.","CHAYA SENARATH, GALLOLUWE",(916) 515-0550,2075 ARENA BLVD.,SACRAMENTO,CA,95834,SACRAMENTO,3,40,LICENSED,7/27/2006,,8/15/2019,2,2,7,11,0,2,6,3,9/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343614110,LITTLE FOLKS UNIVERSITY,"BERNSTEIN, BONNIE & KEN","BERNSTEIN, BONNIE",(916) 985-7055,801 SIBLEY STREET,FOLSOM,CA,95630,SACRAMENTO,3,40,LICENSED,9/15/2006,,2/22/2019,2,1,1,4,0,1,1,2,10/6/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343622063,MARCONI MONTESSORI SCHOOL (INF),HOPE ACADEMY OF MONTESSORI INC,"DE SILVA, HIRESHA",(916) 550-2354,5736 NORTH AVE,CARMICHAEL,CA,95608,SACRAMENTO,3,30,LICENSED,1/29/2018,,1/23/2018,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343603512,MERRYHILL SCHOOL-CALVINE,"NOBEL LEARNING COMMUNITIES, INC.","GATBONTON, NIEVA",(916) 689-7322,9036 CALVINE ROAD,SACRAMENTO,CA,95829,SACRAMENTO,3,28,LICENSED,1/23/1998,,10/24/2018,4,0,1,5,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343614044,MERRYHILL SCHOOL-DANBROOK,"NOBEL LEARNING COMMUNITIES, INC.","HARRAH-FERGUSON, CHRISTINE",(916) 285-8656,1901 DANBROOK DR,SACRAMENTO,CA,95835,SACRAMENTO,3,30,LICENSED,8/10/2006,,10/18/2018,3,0,0,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343608220,MERRYHILL SCHOOL-HARBOUR PT.,"NOBEL LEARNING COMMUNITIES, INC.",STEPHANIE GILL,(916) 683-3244,9561 HARBOUR PT. DRIVE,ELK GROVE,CA,95758,SACRAMENTO,53,30,LICENSED,8/1/2002,,8/16/2019,4,0,0,4,1,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343615586,MERRYHILL SCHOOL-KARITSA,"NOBEL LEARNING COMMUNITIES, INC.","LEPAGE, SUSAN",(916) 575-9603,2855 KARITSA AVENUE,SACRAMENTO,CA,95833,SACRAMENTO,3,40,LICENSED,7/29/2009,,10/18/2018,3,1,0,4,0,0,0,0,5/27/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343600373,MERRYHILL SCHOOL-LAGUNA PARK,"NOBEL LEARNING COMMUNITIES, INC.","NORRIS, LISA",(916) 684-4044,6613 LAGUNA PARK DRIVE,ELK GROVE,CA,95758,SACRAMENTO,53,24,LICENSED,9/23/1994,,12/5/2018,3,1,0,4,0,1,0,0,9/26/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343617609,MERRYHILL SCHOOL-POCKET,NOBEL LEARNING COMMUNITIES,"FREITAG, SUSAN",(916) 424-2299,7335 PARK CITY DRIVE,SACRAMENTO,CA,95831,SACRAMENTO,3,36,LICENSED,7/18/2013,,8/15/2019,5,0,2,7,1,1,1,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343614963,MILESTONES CHILD DEVELOPMENT CENTER,AIMEE RENE WALKER,QUIVANDA HARRISON,(916) 231-1153,1411 O STREET,SACRAMENTO,CA,95814,SACRAMENTO,3,43,LICENSED,12/20/2007,,10/24/2018,3,1,1,5,0,0,0,0,10/22/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343622856,"MINDFUL MIRACLE, INC. (INF)","TEENEY, ASHLEY & WINN, JARRED","TEENEY, ASHLEY",(916) 889-3443,1001 I STREET,SACRAMENTO,CA,95814,SACRAMENTO,3,24,LICENSED,12/31/2018,,12/28/2018,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343614395,MISSION AVENUE PRESCHOOL,MISSION AVENUE PRESCHOOL,DUSTI KIRN,(916) 487-4647,2433 MISSION AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,3,22,LICENSED,6/1/2007,,7/16/2019,3,2,4,9,2,6,0,1,1/26/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343620636,MONTESSORI COUNTRY DAY AT RIVERLAKE,"MONTESSORY COUNTRY DAY AT RIVERLAKE, INC.","RUIZ, MARTHA",(916) 394-0701,7575 RUSH RIVER DRIVE,SACRAMENTO,CA,95831,SACRAMENTO,3,12,LICENSED,9/1/2015,,3/16/2018,2,0,1,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343621911,MOORE LEARNING PRESCHOOL & DCC (INF),"MOORE, FRISHA AND GIUSTI, PATTY JEAN","MOORE, FRISHA",(916) 405-0448,8699 ELK GROVE BLVD,ELK GROVE,CA,95624,SACRAMENTO,53,20,LICENSED,10/10/2017,,7/10/2019,1,3,2,6,2,0,1,0,9/26/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343615965,NANNA'S CHILD CARE CENTER,"COOK, RAMONA GAIL","COOK, RAMONA",(916) 737-5209,2810 REDDING AVE #F,SACRAMENTO,CA,95820,SACRAMENTO,3,14,CLOSED,9/21/2009,9/18/2014,8/5/2013,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343604279,N.H.D.F. INFANT & TODDLER CENTER,NATIONAL HUMAN DEVELOPMENT FOUNDATION,"FLORES, ADELIA",(916) 737-6433,3441 STOCKTON BLVD.,SACRAMENTO,CA,95820,SACRAMENTO,3,20,CLOSED,2/19/1999,5/20/2019,12/11/2018,3,1,0,4,0,4,0,0,3/27/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343609745,O'BRIEN CHILD DEVELOPMENT,"FARINA-RODRIGUEZ, ELIETTE","FARINA-RODRIGUEZ, ELIETTE",(916) 727-3000,8200 SUNRISE BLVD,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,13,CLOSED,6/1/2004,9/1/2015,7/16/2015,0,0,2,2,0,0,4,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343603759,ONLY LOVE CHILDREN'S CENTER,"SUAREZ, MARTA","SUAREZ, MARTA",(916) 920-8724,2581 HOWE AVE.,SACRAMENTO,CA,95821,SACRAMENTO,3,21,CLOSED,5/21/1998,6/5/2015,4/11/2014,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343619958,PACIFIC CHILDREN'S CENTER,TWIN RIVERS UNIFIED SCH DISTRICT,ALYSSA HALL,(916) 566-1600,6560 MELROSE DRIVE,NORTH HIGHLANDS,CA,95660,SACRAMENTO,3,25,LICENSED,12/31/2014,,3/1/2019,3,0,2,5,0,3,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343609496,PARADISE PLACE PRESCHOOL INFANT TODDLER CENTER,"GRANICO, TONI","GRANICO, TONI",(916) 718-3642,8924 KIEFER BLVD.,SACRAMENTO,CA,95826,SACRAMENTO,3,9,CLOSED,10/29/2003,12/1/2017,1/6/2017,2,0,5,7,0,5,0,4,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343622078,PARADISE PRESCHOOL,"GRANICO, TONI","GRANICO, TONI",(916) 718-3642,9000 LA RIVIERA DRIVE,SACRAMENTO,CA,95826,SACRAMENTO,3,6,LICENSED,12/1/2017,,6/5/2019,0,0,4,4,0,0,3,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343617466,PENLEIGH CHILD DEVELOPMENT CENTER,"CAMASURA, MARIVEL","CAMASURA, MARIVEL",(916) 822-5020,1400 E STREET SUITE D & E,SACRAMENTO,CA,95814,SACRAMENTO,3,10,LICENSED,4/2/2013,,10/19/2018,3,3,4,10,1,3,0,1,7/15/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343610247,"PHOENIX SCHOOLS, THE","CADENCE EDUCATION, INC.","ROCCA, MYRIAM",(916) 455-1275,4401 A STREET,SACRAMENTO,CA,95819,SACRAMENTO,3,16,CLOSED,7/23/2004,3/7/2016,1/13/2016,1,1,0,2,1,0,0,0,7/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343610271,"PHOENIX SCHOOLS, THE","CADENCE EDUCATION, INC.","DAWSON-BROWN, JESSICA",(916) 691-6420,3050 BABSON DR.,ELK GROVE,CA,95758,SACRAMENTO,53,32,CLOSED,7/23/2004,10/7/2016,12/9/2015,1,1,0,2,0,0,0,0,10/3/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343620028,PLAY-OLOGY,DUNN RIGHT INCORPORATED,"VANCE, JENNIFER",(916) 853-5678,3084 SUNRISE BLVD STE 4,RANCHO CORDOVA,CA,95742,SACRAMENTO,3,16,LICENSED,10/2/2014,,3/2/2018,1,0,4,5,0,0,1,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343610520,POPPY PATCH-PHASE III,FTB CHILD CARE CENTER,"TATE, SHANEL",(916) 845-4949,9638 BUTTERFIELD WAY,SACRAMENTO,CA,95827,SACRAMENTO,3,60,LICENSED,5/27/2005,,7/16/2019,3,6,4,13,3,6,2,0,11/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343616170,PRESTIGE PRESCHOOL ACADEMY,PRESTIGE PRESCHOOL ACADEMY,MELISSA BROWN,(916) 285-7700,3100 MACON DRIVE,SACRAMENTO,CA,95835,SACRAMENTO,3,24,LICENSED,3/15/2010,,10/29/2018,4,4,0,8,2,0,0,0,9/20/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343615848,PRESTIGE PRESCHOOL ACADEMY (INF),"PRESTIGE PRESCHOOL, INC.","BECKSTROM, MICHELLE",(916) 684-4222,8160 SHELDON ROAD,ELK GROVE,CA,95758,SACRAMENTO,53,42,LICENSED,6/23/2009,,8/13/2019,4,2,2,8,0,1,0,0,9/26/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,340312651,RAINBOW DAY CARE - INFANTS,"RAINBOW DAY CARE CENTER, INC.","THORN, TINA",(916) 448-5231,"901 P STREET, SUITE 155B",SACRAMENTO,CA,95814,SACRAMENTO,3,12,LICENSED,9/7/1989,,1/10/2019,3,3,1,7,0,3,0,1,6/26/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343610525,RANCHO MURIETA LEARNING CENTER,"JEFFRIES, SHELLEY, MICHAEL","JEFFRIES, MICHAEL",(916) 354-4163,"7277 LONE PINE, STE 102",RANCHO MURIETA,CA,95683,SACRAMENTO,3,14,LICENSED,12/31/2004,,4/24/2019,3,1,0,4,0,4,0,0,3/19/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343608666,READY-SET-GO CHILDREN'S CENTER,"SCHWOERER, PAMELA & MORENO, PENNY",PENNY MORENO,(916) 331-2013,4331 GALBRATH DRIVE,SACRAMENTO,CA,95842,SACRAMENTO,3,12,LICENSED,3/7/2003,,7/2/2019,1,4,1,6,0,0,0,1,7/3/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343620848,READY-SET-GO CHILDREN'S CENTER,PENNY VALLEY CHILDCARE INC.,"HILL, LAURALYN",(916) 967-0100,4404 SAN JUAN AVENUE,FAIR OAKS,CA,95628,SACRAMENTO,3,37,LICENSED,12/18/2015,,5/16/2019,2,5,11,18,1,0,6,3,1/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343621312,RIVER CITY EARLY LEARNING CTR (INF),"RIVER CITY LEARNING COMPANY, LLC","DAWSON-BROWN, JESSICA",(916) 691-6420,3050 BABSON DRIVE,ELK GROVE,CA,95758,SACRAMENTO,53,32,LICENSED,10/7/2016,,7/10/2018,2,2,3,7,0,1,1,0,7/14/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343614421,"ROSEMONT PLAYSCHOOL, INC., MATHER PLAYSCHOOL","ROSEMONT PRESCHOOL, INC.","LINDEMAN, JILL MCGRAW",(916) 366-5800,10265 ROCKINGHAM DRIVE #150,SACRAMENTO,CA,95827,SACRAMENTO,3,25,LICENSED,11/9/2007,,9/13/2018,2,9,1,12,0,0,1,0,9/25/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343615915,SACRAMENTO CHILDREN'S HOME-SACRAMENTO CRISIS,SACRAMENTO CHILDREN'S HOME,"WHITE-DOUGLAS, EBONY",(916) 452-3981,6699 SOUTH LAND PARK DRIVE,SACRAMENTO,CA,95831,SACRAMENTO,3,4,INACTIVE,7/1/2009,,10/10/2013,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,340320716,SACRAMENTO CITY COLLEGE CHILD DEVELOPMENT CENTER,LOS RIOS COMMUNITY COLLEGE DISTRICT,"GARCIA, LISA",(916) 558-2542,3835 FREEPORT BLVD,SACRAMENTO,CA,95822,SACRAMENTO,3,35,CLOSED,7/23/1993,4/18/2017,3/10/2011,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343611639,SACRAMENTO CRISIS NURSERY,SACRAMENTO CHILDREN'S HOME,"NOLAN, BARBARA",(916) 679-3600,4533 PASADENA AVENUE,SACRAMENTO,CA,95821,SACRAMENTO,3,12,INACTIVE,2/6/2007,,2/28/2014,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343610874,SACRAMENTO MONTESSORI SCHOOL,"12TH STREET COLLABORATIVE FOR MONTESSORI, THE","TUROF, SUSAN",(916) 444-7786,1111-1123 D STREET,SACRAMENTO,CA,95814,SACRAMENTO,3,62,LICENSED,9/30/2005,,7/29/2019,0,1,11,12,4,8,1,2,5/8/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343604409,SAN JUAN EARLY HEAD START,SAN JUAN UNIFIED SCHOOL DISTRICT,DEBRA MCMANNIS,(916) 728-3109,7551 GREENBACK LANE,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,42,LICENSED,3/31/1999,,1/14/2019,2,0,1,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343616543,SAN JUAN PRE-SCHOOL,GINETTE STEPHENS & HENRY MARURI,"LEWIS, JENNY",(916) 863-0337,7413 WISCONSIN DRIVE,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,12,LICENSED,4/1/2011,,7/31/2019,3,1,5,9,7,5,1,2,3/14/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343606271,SETA - CROSSROADS HEAD START,SETA HEADSTART,LYNDA DE LA MORA,(916) 262-0911,7322 FLORINWOODS,SACRAMENTO,CA,95823,SACRAMENTO,3,16,LICENSED,9/21/2001,,5/25/2018,2,0,1,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343604910,SETA - JOB CORPS HEAD START,SETA,"JENSEN, DARATHA",(916) 563-5038,3100 MEADOWVIEW ROAD,SACRAMENTO,CA,95832,SACRAMENTO,3,28,CLOSED,12/1/2000,9/14/2017,7/28/2016,1,0,0,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343623183,SETA HIRAM JOHNSON HEAD START (INF),SETA,"GOMEZ, CARMEN",(916) 263-3800,3535 65TH STREET,SACRAMENTO,CA,95820,SACRAMENTO,3,40,PENDING,,,8/28/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343614546,SHALOM PRESCHOOL,SHALOM SCHOOL,LAURA HALEN,(916) 485-4151,2320 SIERRA BLVD.,SACRAMENTO,CA,95825,SACRAMENTO,3,34,LICENSED,8/24/2007,,6/25/2019,4,0,1,5,1,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343616142,SJUSD - FAIR OAKS ANNEX,SJUSD ECE CHILD DEVELOPMENT PROGRAMS,"MCMANNIS, DEBBIE",(916) 971-5837,10700 FAIR OAKS BLVD.,FAIR OAKS,CA,95628,SACRAMENTO,3,16,LICENSED,4/9/2010,,5/20/2019,2,0,1,3,1,3,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343617593,SMART START CREATIVE LEARNING CENTER-FOLSOM,SMART START EDUCATION L.L.C,"TUCKER, AMBER",(916) 941-5304,101 HAZELMERE DRIVE,FOLSOM,CA,95630,SACRAMENTO,3,24,CLOSED,8/12/2013,8/18/2015,1/6/2015,0,1,0,1,0,0,0,0,1/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343608842,SOMETHING EXTRA PRESCHOOL & CHILDCARE,"THROCKMORTON, JOHN & JAIME","THROCKMORTON, JAMIE",(916) 348-0712,7916 AZTEC DR.,ANTELOPE,CA,95843,SACRAMENTO,3,15,LICENSED,4/24/2003,,6/1/2018,3,3,0,6,0,0,0,0,5/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343616874,SUNSHINE ACADEMY,"LEWIS, LOUVENIA","LEWIS, LOUVENIA",(209) 595-1875,3340 MARYSVILLE BLVD.,SACRAMENTO,CA,95838,SACRAMENTO,3,8,CLOSED,12/12/2011,6/4/2018,8/23/2017,1,0,3,4,3,2,2,1,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343622221,SUNSHINE ACADEMY,SUNSHINE ACADEMY,"MCCRAY, JENNIFER",(209) 595-1875,2452 DEL PASO BLVD,SACRAMENTO,CA,95815,SACRAMENTO,3,14,LICENSED,6/4/2018,,7/26/2019,1,1,9,11,2,3,7,1,12/6/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343614517,TINY SCHOLARS ACADEMY,TINY SCHOLARS ACADEMY INC.,"WOOLEY,LINDA/MACKLIN,LINDA",(916) 564-2095,1593 WATERWHEEL DR.,SACRAMENTO,CA,95833,SACRAMENTO,3,29,LICENSED,8/27/2007,,8/9/2018,5,3,1,9,0,1,2,0,7/28/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343621634,TOTS OF LOVE DEVELOPMENT CENTER (INF),"TOTS OF LOVE DEVELOPMENT CENTER, LLC","GRANT, VANESSA",(916) 222-1018,5619 MARCONI AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,3,6,LICENSED,8/10/2017,,9/28/2018,1,0,3,4,2,2,0,1,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343617232,TOWN AND COUNTRY PRESCHOOL,"CHILDCARE CENTER INVESTORS, INC.",JESSICA TURNER,(916) 487-2036,2550 BELPORT LANE,SACRAMENTO,CA,95821,SACRAMENTO,3,22,LICENSED,11/1/2012,,8/22/2019,5,13,4,22,5,5,2,3,4/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343615078,TREEHOUSE LEARNING CENTER-ELSIE,"NOAH'S ARK PRESCHOOLS, INC.","FAULK, MARCIA",(916) 689-8889,7610 ELSIE AVENUE,SACRAMENTO,CA,95828,SACRAMENTO,3,20,LICENSED,4/14/2008,,1/10/2019,3,9,5,17,1,3,3,1,10/24/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343600827,TUTOR TIME,"J & M CHILDCARE, INC.",MARLYN KUEHN,(916) 965-3190,4858 SAN JUAN AVE,FAIR OAKS,CA,95628,SACRAMENTO,3,24,CLOSED,4/7/1995,7/31/2015,7/10/2015,2,1,0,3,0,1,0,0,7/20/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343622211,VINEYARD MONTESSORI,"GREEN, JULIEANNE","GREEN, JULIEANNE",(916) 690-0810,8827 GERBER ROAD,SACRAMENTO,CA,95828,SACRAMENTO,3,9,LICENSED,2/22/2018,,1/12/2018,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343615377,WEE TYMES PLAYSCHOOL,"WEE TYMES PLAYSCHOOL, INC","INGALLS, DANELLE",(916) 487-8411,2925 ROOT AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,3,15,LICENSED,8/25/2008,,12/18/2017,2,4,5,11,0,4,2,0,8/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343616446,WHISPERING OAK MONTESSORI ACADEMY,"WHISPERING OAK MONTESSORI, INC.","DANIELS, HASHIMAH",(916) 722-8118,8085 OAK AVENUE,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,8,LICENSED,12/20/2010,,4/5/2019,2,1,1,4,1,0,0,0,12/27/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343607148,WILLIAM DAYLOR HIGH SCHOOL CHILD CARE CENTER,ELK GROVE UNIFIED SCHOOL DISTRICT,KIMBERLY SMITH,(916) 427-5428,6131 ORANGE AVE.,SACRAMENTO,CA,95823,SACRAMENTO,3,16,LICENSED,4/17/2002,,9/20/2017,2,0,0,2,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343604577,YMCA - COURTLAND CHILD DEVELOPMENT CENTER,YMCA OF THE EAST BAY,"SALAS, MARIA",(916) 775-4138,180 PRIMASING,COURTLAND,CA,95615,SACRAMENTO,53,34,LICENSED,5/4/1999,,5/16/2019,4,0,2,6,2,0,1,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,340311130,YMCA OF SUPERIOR CALIFORNIA- CDC INFANT,YMCA OF SUPERIOR CALIFORNIA,"FUGATE, NANCY",(916) 452-9622,2021 W STREET,SACRAMENTO,CA,95818,SACRAMENTO,3,12,LICENSED,9/17/1988,,3/26/2018,3,2,2,7,0,2,2,3,12/29/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFANT CENTER,343623107,YOUNG EXPLORERS (INF),"JMD CREATION, INC.","REED, DE ANGELA M.",(408) 306-3795,"8065 ELK GROVE FLORIN RD, #150",SACRAMENTO,CA,95829,SACRAMENTO,3,12,PENDING,,,8/23/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL AGE DAY CARE CENTER,343616503,4TH R-ALICE BIRNEY,CITY OF SACRAMENTO,"STEPHENS, LINDSAY",(916) 433-6318,6251 13TH STREET,SACRAMENTO,CA,95831,SACRAMENTO,3,75,LICENSED,9/7/2010,,3/16/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL AGE DAY CARE CENTER,340310094,4TH R - CALEB GREENWOOD,CITY OF SACRAMENTO,AMANDA SITTARICH,(916) 277-6185,5457 CARLSON DRIVE,SACRAMENTO,CA,95819,SACRAMENTO,3,100,LICENSED,4/30/1987,,7/26/2019,3,0,0,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL AGE DAY CARE CENTER,340309554,4TH R - CAROLINE WENZEL,CITY OF SACRAMENTO,STACY KAWAHARA,(916) 433-6320,6870 GREENHAVEN DRIVE,SACRAMENTO,CA,95831,SACRAMENTO,3,100,CLOSED,9/2/1986,6/12/2015,9/5/2013,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL AGE DAY CARE CENTER,340310500,4TH R - CROCKER RIVERSIDE,CITY OF SACRAMENTO,TREVOR MENSIK/STEAV JORDAN,(916) 264-8385,2970 RIVERSIDE BLVD,SACRAMENTO,CA,95818,SACRAMENTO,3,150,LICENSED,12/28/1987,,8/8/2019,2,0,4,6,1,0,2,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL AGE DAY CARE CENTER,340311928,4TH R - GENEVIEVE DIDION,CITY OF SACRAMENTO,"NGUYEN, LYNN",(916) 433-6675,6490 HARMON DR.,SACRAMENTO,CA,95831,SACRAMENTO,3,100,LICENSED,1/4/1989,,8/8/2019,3,0,0,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL AGE DAY CARE CENTER,343604770,4TH R - GOLDEN EMPIRE,CITY OF SACRAMENTO,JOYCE WENGER-JOHNSON,(916) 227-6174,9045 CANBERRA DRIVE,SACRAMENTO,CA,95826,SACRAMENTO,3,70,LICENSED,8/4/1999,,4/25/2018,3,0,0,3,1,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
